year,date,week,rep,game,players,time,outcome,joy
2019,31-Oct,1,1,werewolf,10,120,werewolves,5
2019,31-Oct,1,1,alien,10,0,villagers,5
2019,6-Nov,2,2,werewolf,8,80,werewolves,4
2019,6-Nov,2,2,alien,7,,,
